# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
Prozess	b1	der	-e(1)	Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.
Präsentation	b1	die	-en(1)	Die Schülerin hat für ihre Präsentation eine gute Note bekommen.
Prüfung	a1	die	-en	Die Prüfung ist am Montag um 8.00 Uhr.
Publikum	b1	das		Es war ein tolles Konzert. Das Publikum war begeistert.
Pullover	a2	der	-	Ich muss mir einen Pullover kaufen.
Punkt	b1	der	-e(1)	Das Konzert beginnt um Punkt 20 Uhr.
Puppe	b1	die	-n(1)	Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.
Pöstler	b1	der	- / die Pöstlerin, -nen (CH) (1)	War die Pöstlerin schon da?
Qualifikation	b1	die	-en(1)	Für diese Arbeit haben Sie gute Qualifikationen.
Qualität	a2	die	-en	Dieser Fernseher hat eine gute Qualität.
Quartier	b1	das	-e (CH) (1)	Wir wohnen in einem schönen Quartier.
Quittung	b1	die	-en(1)	Brauchen Sie eine Quittung?
Quiz	b1	das		Er hat beim Quiz gewonnen.
Quiz (Sg.)	a2	das		Er schaut gern Quizsendungen an.
Rabatt	b1	der	-e(1)	Sie bekommen zehn Prozent Rabatt.
Rad	b1	das	¨-er(1)	Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.
Rad fahren	a1			Das Kind kann schon Rad fahren.
Radfahrer	b1	der	- die Radfahrerin, -nen(1)	Der Radfahrer ist auf der Straße unterwegs.
Radio	a2	das	-s	Ich höre im Auto gern Radio.
Rand	b1	der	¨-er(1)	Wir wohnen am Rand der Innenstadt.
Rasen	b1	der	-(1)	Bitte den Rasen nicht betreten!
Rat	b1	der		Was soll ich machen? Können Sie mir einen Rat geben?
Rathaus	a2	das	¨-er	Das Formular bekommen Sie im Rathaus.
Ratschlag	b1		¨-e(1)	Meine Tochter nimmt meine Ratschläge nicht an.
Raucher	b1	der	- die Raucherin, -nen(1)	Gibt es hier ein Zimmer für Raucher?
Raum	a1	der	-ä, e	Der Unterricht ist in Raum 332.
Reaktion	b1	die	-en(1)	Diese Reaktion ist typisch für ihn.
Realität	b1	die	-en(1)	Das gefällt dir nicht? Aber das ist die Realität.
Recherche	b1	die	-n(1)	Für diesen Bericht waren viele Recherchen nötig.
Rechner	b1	der	-(1)	Mein Rechner ist kaputt.
Rechnung	a1	die	-en	Die Rechnung, bitte.
Recht	b1	das	-e(1)	Nach deutschem Recht kann er dafür nicht bestraft werden.
Rede	b1	die	-n(1)	Der Präsident hat eine Rede gehalten.
Referat	b1	das	-e(1)	Vielen Dank für dieses interessante Referat.
Reform	b1	die	-en(1)	Die Regierung plant für nächstes Jahr eine Reform. Die Steuern sollen steigen.
Regal	b1	das	-e(1)	Das Buch steht im Regal oben rechts.
Regel	b1	die	-n(1)	Im Straßenverkehr sind viele Regeln zu beachten.
Regen	a1	der		Bei diesem Regen gehe ich nicht raus.
Regen (Sg.)	a2	der		Bei Regen gehe ich nicht aus dem Haus.
Region	b1	die	-en(1)	In der Rhein-Main-Region sind die Mieten sehr hoch.
Reifen	a2	der	-	Ich brauche neue Reifen für mein Auto.
Reihe	a2	die	-n	Ich habe Karten für das Konzert. Wir sitzen in der dritten Reihe.
Reihenfolge	b1	die	-n(1)	Achten Sie auf die Reihenfolge der Inhaltspunkte.
Reinigung	a2	die	-en	Bringst du bitte die Bluse in die Reinigung? Man darf sie nicht in der Waschmaschine waschen.
Reis	a1	der		Ich esse gern Reis.
Reis (Sg.)	a2	der		Ich esse gern Reis mit Gemüse und Fisch.
Reise	a1	die	-n	Wir machen eine Reise nach Österreich.
Reisebüro	a1	das	-s	Mein Mann arbeitet im Reisebüro.
Reiseführer	a1	der	-	Ich kaufe mir einen Reiseführer von Berlin.
Reklame	b1	die	-n(1)	Ich möchte keine Reklame im Briefkasten.
Rekord	b1	der	-e(1)	Es gibt einen neuen Rekord im Schwimmen.
Religion	b1	die	-en(1)	Religion ist für manche Menschen sehr wichtig.
Rente	b1	die	-n(1)	Sie ist 67 und bekommt jetzt eine gute Rente.
Rentner	a2	der	- / die Rentnerin, -nen	Mein Onkel arbeitet nicht mehr. Er ist Rentner.
Reparatur	a1	die	-en	Die Reparatur ist sehr teuer.
Reportage	b1	die	-n(1)	Hast du die Reportage über Afrika gesehen?
Reporter	b1	der	-(1)	Die Reporterin macht gerade ein Interview.
Reservierung	b1	die	-en(1)	Was kostet eine Reservierung?
Respekt	b1	der		Ich habe großen Respekt vor meinem Lehrer.
Rest	a2	der	-e	Hier sind 50 Euro. Den Rest gebe ich dir später.
Restaurant	a1	das	-s	Wir essen heute in einem Restaurant.
Rezept	a2	das	-e	Dieser Kuchen schmeckt super! Kannst du mir bitte das Rezept geben?
Rezeption	a1	die	-en	Fragen Sie bitte im Hotel an der Rezeption.
Rezeption/Reception	b1	die	-en(1)	Geben Sie bitte den Schlüssel an der Rezeption ab.
Richter	b1	der	-(1)	Der Richter hat noch kein Urteil gesprochen.
Richtung	b1	die	-en(1)	Der Zug in Richtung Köln hat Verspätung.
Rind	a2	das	-er(1)	Ich esse nur Fleisch vom Rind.
Ring	a2	der	-e	Ich habe meinen Ring verloren.
Risiko	b1	das	Risiken(1)	Ich nehme keinen Kredit auf. Das Risiko ist mir zu hoch.
Rock	a2	der	¨-e	Der Rock ist zu eng.
Rolle	b1	die	-n(1)	Die Schauspielerin hat ihre Rolle sehr gut gespielt.
Roman	b1	der	-e(1)	Ich lese gern Romane.
Rose	a2	die	-n	Er schenkt seiner Freundin rote Rosen zum Geburtstag.
Rucksack	a2	der	¨-e	Ich nehme lieber einen Rucksack als einen Koffer mit.
Rufnummer	b1	die	-n(1)	Wir möchten Sie gerne anrufen. Wie ist Ihre Rufnummer?
Ruhe	b1	die		Ruhe, bitte!
Ruhe (Sg.)	a2	die		Ruhe, bitte! Hier in der Bibliothek darf man nicht laut sprechen.
Runde	b1	die	-n(1)	Ich laufe jeden Tag fünf Runden im Park.
Rundfahrt	b1	die	-en(1)	Am zweiten Tag haben wir eine Rundfahrt durch den Hafen gemacht.
Rundgang	a2	der	¨-e	Der Rundgang durch das Schloss beginnt in wenigen Minuten.
Rätsel	a2	das	-	Das Rätsel ist schwierig! Ich weiß die Antwort nicht.
Rücken	a2	der	-	Mein Rücken tut mir weh.
Rückfahrt	b1	die	-en(1)	Auf der Rückfahrt besuche ich meine Eltern.
Rückkehr	b1	die		Nach meiner Rückkehr haben wir ein großes Fest gefeiert.
Rücksicht	b1	die	-en(1)	Nehmen Sie bitte Rücksicht auf die anderen Gäste.
Rüebli	b1	das	- (CH) → D: Möhre(1)	Hasen fressen gern Rüebli.
S-Bahn	a1	die		Ich nehme lieber die S-Bahn.
Saal	b1	der	Säle(1)	Für unsere Familienfeier haben wir einen kleinen Saal gemietet.
Sache	a2	die	-n	Ihr könnt eure Sachen im Hotel lassen.
Sack	b1	der	¨-e(1)	Ich hätte gern einen Sack Kartoffeln.
Saft	a1	der	¨-e	Möchtest du einen Apfelsaft?
Saison	b1	die	-s(1)	Urlaub in den Schulferien ist immer teurer. Das ist die Saison mit den höchsten Preisen.
Salat	a1	der	-e	Wie schmeckt dir der Salat?
Salbe	b1	die	-n(1)	Diese Salbe gibt es nur auf Rezept.
Salon	b1	der	-s(1)	Sie arbeitet als Friseurin in einem Salon.
Salz	a1	das	-e	Herr Ober, kann ich bitte Salz haben?
Sand	b1	der		Die Kinder spielen gern im Sand.
Satz	a1	der	-ä, e	Dieser Satz ist sehr einfach.
Schachtel	b1	die	-n(1)	Ich hätte gern eine Schachtel Zigaretten.
Schaden	b1	der	¨-(1)	Ich hatte einen Unfall mit dem Auto. Jetzt muss ich den Schaden der Versicherung melden.
Schalter	a1	der	-	Gehen Sie bitte zum Schalter drei!
Schatten	b1	der	-(1)	Gestern hatten wir 25 Grad im Schatten.
Schaufenster	b1	das	-(1)	Ich habe im Schaufenster eine schicke Bluse gesehen.
Schauspieler	b1	der	-(1)	Der Film war toll. Die Schauspieler waren sehr gut.
Schauspielerin	b1	die	-nen(1)	Die Schauspielerin hat einen tollen Auftritt gehabt.
Scheibe	b1	die	-n(1)	Fünf Scheiben Käse, bitte.
Scheidung	b1	die	-en(1)	Wann war die Scheidung?
Schein	b1	der	-e(1)	Kannst du einen Schein in Kleingeld wechseln?
Schere	a2	die	-n	Die Schere schneidet nicht gut. Hast du eine andere?
Schiff	a2	das	-e	Wir fahren mit dem Schiff von Basel nach Köln.
Schild	a1	das	-er	Haben Sie nicht das Schild gesehen?
Schinken	a1	der	–	Ich möchte gern ein Schinkenbrot.
Schirm	a2	der	-e(1)	Nimm den Schirm mit, es regnet.
Schlaf	b1	der		Das Kind macht jeden Tag nach dem Mittagessen einen kurzen Schlaf.
Schlafzimmer	a2	das	-	Hier ist das Schlafzimmer.
Schloss	a2	das	¨-er	Am Wochenende besichtigen wir Schloss Neuschwanstein.
Schluss	a1	der	¨-e	Ich muss jetzt Schluss machen.
Schlüssel	a1	der	–	Ich gebe Ihnen noch den Zimmerschlüssel.
Schmerz	a2	der	-en	Haben Sie Schmerzen?
Schnee	b1	der		Im Februar gibt es oft viel Schnee.
Schnee (Sg.)	a2	der		In den Bergen liegt viel Schnee.
Schnitzel	b1	das	-(1)	Bitte ein Schnitzel mit Kartoffeln und Salat.
Schnupfen	b1	der		Ich habe Schnupfen. Welches Medikament empfehlen Sie?
Schokolade	b1	die		Ich habe eine Tafel Schokolade gegessen.
Schokolade (Sg.)	a2	die		Julia liebt Schokolade.
Schrank	a1	der	-ä, e	Die Gläser stehen im Schrank.
Schreck	b1	der	-en(1)	Ich habe einen großen Schreck bekommen.
Schreiben	b1	das	-(1)	Haben Sie mein Schreiben vom 3. März erhalten?
Schrift	b1	die	-en(1)	Ich kann leider deine Schrift nicht lesen.
Schriftsteller	b1	der	- (1)	Kennst du diese Schriftstellerin? Ich liebe ihre Bücher.
Schritt	b1	der	-e(1)	Die Sprachschule ist nur ein paar Schritte von hier.
Schuh	a1	der	-e	Zieh die Schuhe aus!
Schularbeit	b1	die	-en (A) (1)	Mein Sohn schreibt bei Schularbeiten immer gute Noten.
Schuld	b1	die		Es ist nicht meine Schuld, dass das nicht geklappt hat.
Schulden (Pl.)	b1	die		Jetzt habe ich alle meine Schulden bezahlt.
Schule	a1	die	-n	Meine Tochter geht schon in die Schule.
Schulter	b1	die	-n(1)	Ich habe Schmerzen in der rechten Schulter.
Schutz	b1	der		Das ist ein guter Schutz gegen Kälte.
Schwammerl	b1	das	-n (A) (1)	Haben Sie frische Schwammerln?
Schwangerschaft	b1	die	-en(1)	Sie dürfen während der Schwangerschaft nicht rauchen.
Schwein	a2	das	-e	Ich esse kein Schweinefleisch.
Schwester	a1	die	-n	Meine Schwester kommt am Dienstag.
Schwieger-	b1			Wir besuchen morgen meine Schwiegereltern.
Schwierigkeit	b1	die	-en(1)	Ich hatte große Schwierigkeiten, einen Parkplatz zu bekommen.
Schwimmbad	a1	das	¨-er	Kommst du mit ins Schwimmbad?
Schüler	a1	der	–	In meinem Kurs sind acht Schülerinnen und fünf Schüler.
Schülerin	b1	der	-nen (1)	Der Schüler ist krank.
Schüssel	b1	die	-n(1)	Gibst du mir bitte eine Schüssel für den Salat?
See	a1	der	-n	Komm, wir fahren zum Starnberger See.
See (Sg)	a2	die		Die See ist heute ruhig.
Sehenswürdigkeit	a1	die	-en	Welche Sehenswürdigkeiten gibt es in Frankfurt?
Seife	a2	die	-n	Hier gibt es keine Seife.
Seite	a2	die	-n	Öffnen Sie das Kursbuch auf Seite 20.
Sekretär	b1	der	-e (1)	Der neue Sekretär hat sich gestern vorgestellt.
Sekretärin	b1	der	-nen (1)	Die Sekretärin hat die Anrufe entgegengenommen.
Semester	b1	das	-(1)	Mein Neffe studiert im 7. Semester Medizin.
Seminar	b1	das	-e(1)	Ich möchte dieses Seminar unbedingt besuchen.
Semmel	b1	die	-n (A) (1)	Ich hole schnell ein paar Semmeln zum Frühstück.
Sender	b1	der	- (1)	Welchen Sender siehst du am liebsten?
Sendung	a2	die	-en	Welche Sendungen schaust du gern an? – Ich mag Sportsendungen.
Senioren (Pl.)	b1	die		Dieser Computerkurs ist für Senioren.
Serie	b1	die	-n(1)	Meine Tochter liebt es, im Fernsehen Serien zu schauen.
Service	b1	der		Rufst du beim Pizza-Service an?
Service (Sg.)	a2	der		Ich bin mit dem Service in der Werkstatt sehr zufrieden.
Serviceangestellte	b1	der	-n(1)	Ich bin Serviceangestellte von Beruf.
Sessel	b1	der	- (1)	Ich hätte gern einen bequemen Sessel.
Sicherheit	b1	die	-en(1)	Sicherheit ist für mich sehr wichtig.
Sie	a1			Wie heißen Sie, bitte?
Sieg	b1	der	-e(1)	Unsere Mannschaft hat gewonnen. Wir freuen uns über den Sieg.
Sieger	b1	der	- (1)	Wer hat gewonnen? Wie heißt die Siegerin?
Siegerin	b1	die	-nen (1)	Wer hat gewonnen? Wie heißt die Siegerin?
Sinn	b1	der		Es hat keinen Sinn, noch ein Spiel zu beginnen. Es ist schon spät.
Situation	a2	die	-en	Ich bin in einer schwierigen Situation. Ich weiß nicht, was ich tun soll.
Sitz	b1	der	-e(1)	Ich suche für meinen Sohn einen Sitz fürs Auto. Er ist erst drei Jahre alt.
Ski	a2	der	-, -er	Gehen wir am Wochenende Ski fahren?
Ski/Schi	b1	der	-er/- (1)	Gehen wir am Wochenende Ski laufen?
Socke	b1	die	-n(1)	Im Winter brauche ich warme Socken.
Sofa	a1	das	-s	Das Sofa ist neu.
Sohn	a1	der	-ö, e	Das ist Hans, mein Sohn.
Sonderangebot	b1	das	-e(1)	Das ist ein Sonderangebot: 25 % reduziert.
Sonne	a1	die	-n	Die Sonne scheint.
Sorge	b1	die	-n(1)	Um Ihre Zukunft brauchen Sie sich keine Sorgen zu machen.
Souvenir	b1	das	-s(1)	Ich habe ein paar Souvenirs aus dem Urlaub mitgebracht.
Sozialarbeiter	b1	der	- (1)	Die Sozialarbeiterin kommt einmal in der Woche.
Sozialarbeiterin	b1	die	-nen (1)	Die Sozialarbeiterin kommt einmal in der Woche.
Soße/Sauce	b1	die	-n(1)	Gibst du mir bitte mal die Soße?
Spaziergang	a2	der	¨-e	Abends mache ich immer einen Spaziergang.
Spaß	b1	der		Meine Arbeit macht mir viel Spaß.
Spaß (Sg.)	a2	der		Meine Arbeit macht mir Spaß.
Speise-/Speise	b1		-n(1)	Als Vorspeise nehme ich eine Suppe, aber dafür nehme ich keine Nachspeise.
Speisekarte	a1	die	-n	Bringen Sie mir die Speisekarte, bitte.
Speisewagen	b1	der	- (1)	Wo ist der Speisewagen?
Spezial-	b1			Ich brauche eine Spezialpflege für trockenes Haar.
Spezialist	b1	der	-en (1)	Mein Arzt hat mich zur Spezialistin geschickt.
Spezialistin	b1	die	-nen (1)	Mein Arzt hat mich zur Spezialistin geschickt.
Spiegel	b1	der	- (1)	Ich möchte gerne sehen, wie mein Kleid sitzt. Hast du einen Spiegel?
Spiel	a2	das	-e	Welche Kartenspiele kennen Sie? Monopoly ist ein sehr bekanntes Spiel.
Spieler	b1	der	- (1)	Für dieses Spiel braucht man zwei bis vier Spieler.
Spielerin	b1	die	-nen (1)	Beim Fußball gibt es elf Spieler.
Spielplatz	b1	der	¨-e (1)	Die Kinder sind auf dem Spielplatz.
Spielzeug	b1	das	-e (1)	Zu Weihnachten wünschen sich die Kinder vor allem Spielzeug.
Sport	a1	der		Ich mache viel Sport.
Sport (Sg.)	a2	der		Ich mache viel Sport.
Sportart	b1	die	-en(1)	Welche Sportart findest du am besten?
Sportler	b1	der	- (1)	Sie ist eine gute Sportlerin.
Sportlerin	b1	die	-nen (1)	Sie ist eine gute Sportlerin.
Sportplatz	a2	der	¨-e	Das Fußballtraining ist um 17 Uhr auf dem Sportplatz.
Sprache	a1	die	-n	Welche Sprachen sprichst du?
Sprechstunde	a2	die	-n	Frau Doktor Weiß hat von 9:00 bis 12:30 Uhr Sprechstunde.
Spritze	b1	die	-n(1)	Ich habe heute vom Arzt eine Spritze gegen die Schmerzen bekommen.
Spur	b1	die	-en(1)	Fahren Sie bitte auf der linken Spur, wenn Sie schneller fahren.
Stadion	b1	das	Stadien(1)	Ich möchte am Samstag ins Stadion gehen. Da spielt meine Mannschaft.
Stadt	a1	die	-ä, e	Heidelberg ist eine alte Stadt.
Stadtplan	a2	der	¨-e	Haben Sie einen Stadtplan von Salzburg?
Standpunkt	b1	der	-e(1)	Von seinem Standpunkt aus hat er recht.
Star	a2	der	-s	Diese Sängerin ist ein Star in Deutschland.
Start	b1	der	-s(1)	Bleiben Sie bitte während des Starts sitzen.
Station	b1	die	-en(1)	Sie müssen an der nächsten Station aussteigen.
Statistik	b1	die	-en(1)	Die Statistik zeigt, dass jeder zweite ein Fahrrad besitzt.
Stau	b1	der	-s(1)	Auf der A3 gibt es wegen eines Unfalls 5 km Stau.
Staub	b1	der		Ich habe überall Staub gewischt.
Steckdose	b1	die	-n(1)	Es gibt drei Steckdosen in diesem Zimmer.
Stecker	b1	der	- (1)	Der Stecker passt nicht in diese Steckdose.
Stein	b1	der	-e(1)	Die Kinder werfen Steine ins Wasser.
Stelle	a1	die	-n	Ich habe eine neue Stelle.
Stempel	b1	der	- (1)	Der Poststempel trägt das Datum von letzter Woche. Das Paket war lange unterwegs.
Stern	b1	der	-e(1)	Heute sieht man viele Sterne am Himmel.
Steuer	b1	die	-n(1)	Wir müssen immer mehr Steuern zahlen.
Steward	b1	der	-s(1)	Die Stewardess bringt das Mittagessen.
Stewardess	b1	die	-en(1)	Die Stewardess bringt das Mittagessen.
Stiefel	a2	der	-	Wie viel kosten die roten Stiefel?
Stiege	b1	die	-n (A) → D, CH: Treppe (1)	Wo ist die Toilette? – Die Stiege hoch und dann links.
Stiegenhaus	b1	das	¨-er (A) → D, CH: Treppenhaus (1)	Im Stiegenhaus ist kein Licht.
Stift	a2	der	-e	Kannst du mir bitte einen Stift geben? - Was brauchst du? Einen Farbstift oder einen Bleistift oder einen Kugelschreiber?
Stil	b1	der	-e(1)	Ihr Stil ist sehr elegant.
Stimme	b1	die	-n(1)	Ich habe dich sofort an der Stimme erkannt.
Stimmung	b1	die	-en(1)	Es war eine tolle Party. Die Stimmung war sehr gut.
Stipendium	a2	das	-en	Wenn ich ein gutes Zeugnis habe, bekomme ich ein Stipendium.
Stock	a1	der	¨-e	Unsere Wohnung liegt im ersten Stock.
Stock → D	b1	der	CH: Etage(1)	Das Büro ist im 3. Stock, Zimmer 305.
Stockwerk	a2	das	-e	Das Gebäude hat zwanzig Stockwerke.
Stoff	b1	der	-e(1)	Was für ein Stoff ist das? – Wolle.
Strafe	b1	die	-n(1)	Schwarzfahren kostet 60 Euro Strafe.
Strafzettel	b1	der	- (1)	So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.
Strand	a2	der	¨-e	Im Urlaub bin ich am liebsten am Strand.
Straße	a1	die	-n	In welcher Straße wohnen Sie?
Straßenbahn	a1	die	-en	Wo fährt die Straßenbahn ab?
Strecke	b1	die	-n(1)	Sind Sie die ganze Strecke zu Fuß gegangen?
Streichholz	b1	das	¨-er → Zündholz; A: Zünder(1)	Ich hätte gern eine Schachtel Streichhölzer.
Streik	b1	der	-s(1)	Es gab einen Streik am Flughafen. Deshalb hatte unsere Maschine Verspätung.
Streit	b1	der		Ich möchte keinen Streit mit den Nachbarn.
Stress	b1	der		Ich habe bei der Arbeit viel Stress.
Stress (Sg.)	a2	der		Ich habe bei der Arbeit viel Stress.
Strom	b1	der		Wie kann ich im Haushalt Strom sparen?
Strumpf	b1	der	¨-e(1)	Wo sind meine roten Strümpfe?
Student	a1	der	-en	Ich bin Studentin.
Studentin	b1	die	-nen(1)	Schüler und Studenten zahlen die Hälfte.
Studie	b1	die	-n(1)	Wir führen eine Studie über Arbeitslosigkeit durch.
Studierende	b1	der	-n(1)	Zehn Studierende besuchen das Seminar.
Studio	b1	das	-s(1)	Zu Gast im Studio sind heute ...
Studium	a1	das	Studien(1)	Das Studium beginnt im Oktober.
Studium (Sg.)	a2	das		Das Studium dauert drei Jahre.
Stufe	b1	die	-n(1)	Vorsicht, Stufe!
Stuhl	a2	der	¨-e	Ist der Stuhl frei?
Stunde	a1	die	-n	Ich bin in einer Stunde zurück.
Sturm	b1	der	¨-e(1)	Im Radio haben sie Regen und Sturm angesagt.
Störung	b1	die	-en(1)	Entschuldigen Sie bitte die Störung.
Stück	a2	das	-e	Möchten Sie noch ein Stück Kuchen?
Stück/-stück	b1	das	-e(1)	Ich nehme zwei Stück Zucker in den Kaffee.
Sucht	b1	die	¨-e(1)	Die Sucht nach Medikamenten nimmt zu.
Suchtmittel	b1	das	- (1)	Manche Medikamente sind auch Suchtmittel.
Summe	b1	die	-n(1)	Die Summe scheint mir zu hoch!
Supermarkt	a2	der	¨-e	Ich kaufe oft im Supermarkt ein.
Suppe	a2	die	-n	Schmeckt dir die Suppe?
Symbol	b1	das	-e(1)	Das Herz ist ein Symbol für die Liebe.
System	b1	das	-e(1)	Welches Betriebssystem hast du?
Szene	b1	die	-n(1)	In dieser Szene des Films stirbt der
Sänger	b1	der	-(1)	Wie findest du diesen Sänger? − Ich finde seine Stimme toll.
Sängerin	b1	die	-nen(1)	Die Sängerin hat einen tollen Auftritt gehabt.
Süßigkeiten	a2	die		Welche Süßigkeiten isst du am liebsten?
T-Shirt	a2	das	-s	Haben Sie dieses T-Shirt auch in M?
Tabelle	b1	die	-n(1)	Tragen Sie die richtige Information in die Tabelle ein.
Tablet	a2	das	-s	Hast du ein Tablet? - Nein, ich habe einen Laptop und ein Handy.
Tablette	a2	die	-n	Du sollst am Abend zwei Tabletten nehmen.
Tafel	a2	die	-n	Der Lehrer schreibt das neue Wort an die Tafel.
Tagesablauf	b1	der	¨-e(1)	Wie ist Ihr Tagesablauf?
Tal	b1	das	¨-er(1)	Unser Dorf liegt in einem Tal.
Talent	b1	das	-e(1)	Sie hat großes Talent für Musik.
Tankstelle	b1	die	-n(1)	Wo ist die nächste Tankstelle?
Tante	b1	die	-n(1)	Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten.
Tanz	b1	der	¨-e(1)	Diese modernen Tänze kann ich nicht.
Tasche	a1	die	-n	Ich habe die Schlüssel in der Tasche.
Taschengeld	b1	das	-er(1)	Wie viel Taschengeld bekommst du im Monat?
Taschengeld (Sg.)	a2	das		Wie viel Taschengeld bekommen deine Kinder?
Taschentuch	b1	das	¨-er(1)	Hast du ein Taschentuch für mich?
Tasse	a2	die	-n	Möchten Sie eine Tasse Kaffee?
Tastatur	b1	die	-en(1)	Die Tastatur an meinem Computer ist ganz neu.
Taste	b1	die	-n(1)	An der Fernbedienung ist eine Taste kaputt.
Tat	b1	die	-en(1)	Dieser Mensch hat mit vielen guten Taten geholfen.
Tatsache	b1	die	-n(1)	Das widerspricht den Tatsachen.
Taxi	a1	das	-s	Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi.
Team	a2	das	-s	Ich arbeite gern in einem Team.
Technik	b1	die	-en(1)	Ich verstehe nicht viel von Technik.
Technologie	b1	die	-n(1)	Große Fortschritte gab es in der Technologie.
Tee	a1	der	-s	Ich trinke morgens immer Tee.
Tee ziehen lassen	b1			Diesen Tee sollte man 10 Minuten ziehen lassen.
Teil	a1	der	-e	Lies bitte auch den zweiten Teil.
Teilnahme	b1	die	-n(1)	Die Teilnahme am Gewinnspiel ist kostenlos.
Teilnehmer	b1	der	-(1)	Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.
Teilnehmerin	b1	die	-nen(1)	Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.
Teilzeit	b1	die		Ich arbeite im Moment nur Teilzeit.
Telefon	a1	das	-e	Haben Sie Telefon?
Teller	a2	der	-	Stell die Teller bitte auf den Tisch!
Temperatur	b1	die	-en(1)	Die Temperaturen steigen heute um 10 Grad.
Tempo	b1	das		Hier darfst du nur Tempo 30 fahren.
Tennis	b1	das		Ich spiele gern Tennis.
Tennis (Sg.)	a2	das		Steffi spielt sehr gut Tennis.
Teppich	b1	der	-e(1)	Ich habe mir einen neuen Teppich gekauft.
Termin	a1	der	-e	Am besten machen wir sofort einen Termin.
Terminkalender	b1	der	-(1)	Hast du unser Treffen schon in deinen Terminkalender eingetragen?
Terrasse	b1	die	-n(1)	Setzen wir uns auf die Terrasse!
Test	a1	der	-s(1)	Der Test war einfach.
Text	a1	der	-e	Lesen Sie bitte diesen Text.
Theater	a2	das	-	Ich gehe nicht gern ins Theater.
Thema	a1	das	-en	Wir sprechen heute über das Thema „Essen und Trinken“.
Theorie	b1	die	-n(1)	Das ist die Theorie. In der Praxis ist vieles ganz anders.
Therapie	b1	die	-n(1)	Die Therapie hat geholfen. Es geht mir schon viel besser.
Ticket	a1	das	-s	Wie viel kostet das Ticket?
Tier	a2	das	-e	Wir dürfen keine Tiere in der Wohnung haben.
Tierpark	b1	der	-s(1)	Wollen wir am Samstag mit den Kindern in den Tierpark gehen?
Tipp	a2	der	-s	Kannst du mir einen guten Tipp geben?
Tisch	a1	der	-e	Die Fotos liegen auf dem Tisch.
